static_text,log_level
$$$Empty Message$$$,debug
Trying to lock ,info
Done loading load new SSTables for */*,info
ZooKeeper connection LOST. Changes to the submitted job graphs are not monitored (permanently).,warn
"ReplicationException: cannot claim dead region (%s)'s  | replication queue. Znode : (%s) |  Possible solution: check if znode size exceeds jute.maxBuffer value.  |  If so, increase it for both client and server side.",error
Looking up Kafka cluster ID,debug
Message *: * *,info
Unable to lock JVM memory. Failed to set working set size. Error code *,warn
$$$Empty Message$$$,error
An exception was thrown while processing a record: *,warn
path String illegal! path String: ,error
Created directory * for file uploads.,info
$$$Empty Message$$$,error
The parallelism of nested dataflows (such as step functions in iterations) is currently fixed to the parallelism of the surrounding operator (the iteration).,warn
Got file changed event: * with context: *,debug
Skipping recording bulk load entries in preCommitStoreFile for bulkloaded data replication.,debug
Creating ProxyControlGui,debug
hbase.hfile.quarantine.dir is deprecated. Default to ,warn
Subproc name cannot be null or the empty string,error
Set up the value converter * for task * using the worker config,info
memstore2 estimated size=*,info
Write failed,error
Setting the HDFS: ,info
Failed to parse Start Date '*',error
[*] opening connection to seed node: [*] proxy address: [*],debug
Exception during periodic field data cache cleanup:,warn
Sending request of class * to *:**,debug
Unexpected exception,warn
Could not finish splitting of log file ,warn
Our Quorum: ,info
Exception while getting cells to calculate covering permission,error
Removed  |  ; numProcessing=,debug
split WAL * succeed.,info
"*: coordinator becoming CANDIDATE in term * (was *, lastKnownLeader was [*])",debug
Trying to retrieve checkpoint *.,info
Shutdown in progress. Request cannot be processed,debug
Gathering node replacement information for *,info
SAXException while processing (*). *,warn
Failed allocation for  |  | ; ,warn
* poolSizePercentage is less than 0. So not using pool,info
Cannot access local server port,error
Becoming a voting participant,info
Rejecting certificate [*] [*] with common-names [*],info
$$$Empty Message$$$,debug
stored prepared statement for logged keyspace '*': '*',debug
Server  |  added to draining server list.,info
cannot parse the specified url [*],warn
Subtask * has failed to find any shards for the following subscribed streams: *,warn
Lease acquired for flushLogId=*,debug
TApplicationException inside handler,error
Setting Global properties from the file *,info
mkdir failed on *,warn
Waiting for all members to 'acquire',debug
SSL handshake complete with * - * - *,info
reassigning task * from node * to node *,trace
Sending async offset commit request to Kafka broker,debug
Exception inside handler,error
Currently selecting bundle * for destroy (with reference *),debug
An error occurred while trying to set the collection attached to ,debug
Creating missing directory: *,info
Unable to get data of znode  |   | because node does not exist (not an error),debug
Connected to an old server; r-o mode will be unavailable,warn
Setting sum result to -1 to indicate error,info
Loading markup from ,debug
computing ranges for *,trace
Error while rendering axis chart. *,error
"Will try to load mx4j now, if it's in the classpath",trace
Killing master ,info
"Inconsistent files, everything goes to L0.",warn
snapshotState() called on closed source,debug
RSGroup Information found to be null. Some regions might be unassigned.,warn
Set SASL server state to * during *,debug
Synonym rule for [ | ] was ignored,info
Could not properly cleanup local RocksDB backup directory.,debug
"Failed to set data to client ZK, will retry later",debug
Sending exception: ,warn
Bulk-load file  |  is copied to destination staging dir.,debug
using refresh_interval [*],debug
Open *,info
"*: Ignoring request to create worker *, because there is already a worker with that id.",info
Starting quorum peer,debug
$$$Empty Message$$$,error
Worker ended,info
Reading cardinality from Statistics.db failed for *,warn
Using local repository at: ,info
Maintaining client connection despite SASL authentication failure.,warn
$$$Empty Message$$$,debug
Upgrading session 0x*,info
| Waiting for the emulators to be running,info
action [*] is unauthorized for API key id [*] of user [*],debug
[ | ] An error occurred while deleting interim results,error
OpenLinkAction: Current platform does not support the Desktop.Action.BROWSE action on *,error
"index * is already closed, ignoring",debug
Interrupted *,warn
There is no job manager connection to the leader of job *.,debug
Number format exception when parsing  |  for table  | : | . ,error
Stopped * connector *,info
Merging  |  and ,debug
JMXListener has been started at Registry port ,info
Source missing row: ,info
* done waiting for * on * ended on *,debug
Failed to parse process ID from line *,error
[repair #*] * is fully synced,info
Exception writing to internal frame buffer,error
Problem killing but presume successful; code=,info
"failed to resolve bind address:  | : | , so use default writer",trace
"Can't retry. start=*, attempt=*, deadline=*",trace
Unable to remove log: ,error
Activating ProcessStopFault *.,info
Begin to process spilled partition [%d],info
Registered resource *,info
Lock already queued : ,info
Could not properly cancel an operator snapshot result.,warn
Performing action: Changing versions on  |  to ,debug
Subprocedure ' | ' locally acquired,debug
Error while processing next job update,error
shutdown called *,info
Generating standard keypair in *,info
Duplicate alias detected for *: * & *,error
 :  | At least one of the store files:  |  doesn't exist any more. Skip loading the file(s),warn
$$$Empty Message$$$,trace
New WAL *,info
| - Removed,info
[Principal=*]: Expiring credential re-login sleep time was calculated to be in the past! Will explicitly adjust. (*),warn
About to replace in property of type: *: *,debug
Consumer subtask * has empty checkpoint state.,debug
aborting server ,info
Shutdown bucket cache: IO persistent= | ; path to write=,info
"Endpoint * disappeared while trying to assassinate, continuing anyway",warn
using active sstable *,trace
Received message while throttled,debug
* = *zookeeper.pathStats.delay,info
"now throttling indexing: numMergesInFlight=*, maxNumMerges=*",info
Exception writing to internal frame buffer,error
Error checking containers,error
NO TEMP QUEUE,debug
Stored ,debug
[*] removed retention lease [*] on all leader primary shards,trace
Initialize cleaner=*,debug
Completed conversion of legacy credentials,info
Failed to archive ,error
Streams client cannot stop completely within the timeout,info
Boundary Extractor *: processing result,debug
$$$Empty Message$$$,error
deleteTable: table=*,debug
"storeBufferedResponse needs a valid session id to store the response, but a null one was found. Please report the problem to dev team and try to reproduce it in a quickstart project.",error
Setting current scanner as id= |  associated with replica=,trace
$$$Empty Message$$$,warn
Removing family= |  from region= |  table=,trace
* is assigned to an unknown node. skipping for sync id [*]. shard routing *,trace
SSL handshake completed successfully with peerHost '*' peerPort * peerPrincipal '*' cipherSuite '*',debug
$$$Empty Message$$$,error
Updating heartbeat state generation to * from * for *,trace
failed to connect to any initial addresses,error
$$$Empty Message$$$,error
"Created *, * bytes, compression=*",info
Log  |  found at ,info
"[*] [*] no files to recover, all exist within the local store",trace
* loading local shard state info,trace
Detected * local network addresses: *,debug
"task  |  preempted from  | , current task state and owner=",info
ACL check against illegal node path: *,debug
"adding *, address *, transport_address *",trace
Could not connect to *. Selecting a local address using heuristics.,warn
Writing configuration for connector '*' task *,debug
Kerberos return code could not be determined from * due to *,trace
* unexpected error while retrieving in flight op count,debug
Server  |  is not currently online.  | Ignoring request to add it to draining list.,warn
"After reading the trailer: walEditsStopOffset:  | , fileLength:  | ,  | trailerPresent:  | true, size:  | false | , currentPosition: ",trace
Could not serialize stacktrace.,error
fixing orphan table:  |  with a default .tableinfo file,warn
"Added * to dead servers which carryingMeta=*, submitted ServerCrashProcedure pid=*",info
Node * tried to replace malformed endpoint *.,error
Exception writing to internal frame buffer,error
Ending thread *,debug
Internal server error on *: ignoring call * in correlationIdToCall that did not exist in callsInFlight,error
Failed to stop master,error
Vertex: *,debug
Upload of file * complete.,trace
 is already available in source directory. Skipping rename.,debug
"rpc_max_threads setting of * may be too high for the hsha server and cause unnecessary thread contention, reducing performance",warn
The job has * registered types and * default Kryo serializers,info
All stream threads have died. The instance will be in error state and should be closed.,error
Starting ThreadGroup: * : *,info
"nodesMatchingRequirements=*, unsatisfiedRequirements=*, bootstrapRequirements=*",trace
"Received CLOSE for the region: |  , which we are already  | trying to OPEN. Cancelling OPENING.",info
Propagating non-transient conversation * via url,debug
Waiting for datanodes to start on mini cluster is not supported,warn
monitoring service stopped,debug
Restoring quantiles for job ' | ',info
IFormValidator in form ` | ` depends on a component that has been removed from the page or is no longer visible.  | Offending component id ` | `.,warn
Exception writing to internal frame buffer,error
unable to link Windows/Kernel32 library. native methods and handlers will be disabled.,warn
Feature dependency * is not available. Kar deployment postponed to see if it is about to be deployed,warn
LOCKED ,debug
Error creating layout:  | . Using a simple layout.,error
Error : *,warn
Opened file( | ) coulds get FD,debug
Suspend ,trace
"cancelling allocation of replica on [*], sync id match found on node [*]",debug
MessagingService server thread already closed,trace
 :  | Skipping replaying compaction event : |  because its sequence id  |  is smaller than this regions  | lastReplayedCompactionSeqId of ,warn
Un-registering metric failed,error
User-triggered mob compaction requested for table:  |  for column family: ,trace
Delete index commit [*],debug
No mob files under family: ,debug
endRow() called twice in succession,warn
Script did not return a value,warn
Calculating region sizes for table \ | \,info
"[monitor] no status found for [*], shutting down",trace
ignoring task * because assignment is the same *,trace
Error retrieving meta data for node: ,error
"Unexpected exception, tries=*, remaining init limit=*, connecting to *",warn
Loading region information from HDFS,info
Not able to load class or method for com.sun.managment.UnixOperatingSystemMXBean.,warn
Resuming suspended * *,trace
size() called,trace
"*This should only be allowed during upgrading.No snapshot found, but there are log entries. ",warn
ES API CALL: create index *,trace
"Data directory does not exist anymore, halting",info
loadIncludedElements -Attempting to read it from: *,info
* for transform [*],debug
security index does not exist. Creating [*] with alias [*],info
*: all sends have been acked.,info
addLocationsOrderInterceptor configured to false,debug
Started namenode:,info
Output async watermark.,debug
[*]: skipping rescheduling because the new throttle [*] is slower than the old one [*],debug
TApplicationException inside handler,error
Start fetching* from registry,debug
Compiler could not determine the size of input ' | '. Using default estimates.,info
"* checking for shrink readiness on [*], found * shards and need *",trace
Exception received while closing the table ,debug
Deleting expired data,info
failed to submit schedule/execute reroute post unassigned shard,warn
Close table failed,error
running ticket cache refresh command: * *,debug
Unable to ask master to split ,error
error adding index template [*] from [*] for [*],error
unknown role [ | ] on node [ | ],warn
Started VerifiableSourceTask *-* producing to topic * resuming from seqno *,info
Stopped KafkaOffsetBackingStore,info
Successful registration at resource manager * under registration id *.,info
No definition for toolbar entry: *,warn
On disk txn sync disabled,info
couldn't find classes and set up properties,warn
$$$Empty Message$$$,trace
Exception when queuing lock,warn
Exception writing to internal frame buffer,error
"value changed, updating currentPath",debug
Registered Kryo default Serializers Classes *,debug
listBlobs(),trace
Got an error notification for op: |  but we can't read the information. Killing the procedure.,warn
"	*",debug
Closing: *,debug
Added * regions to meta.,info
Servlet process PID:  |  asyncProfilerHome: ,info
Add * to run queue because: *,debug
"less than the required * free bytes threshold (* bytes free) on node *, preventing allocation even though primary has never been allocated",debug
Exception writing to internal frame buffer,error
Adding  |  under  |  as having a namespace quota,trace
* = *zookeeper.snapshotSizeFactor,info
Failed delete of *,error
TTransportException inside handler,error
Syncope HTTP response status code: *,debug
notifyCheckpointComplete() called on uninitialized source,debug
Closing combiner user code.,debug
"Group not found for table  | , using default",debug
Error replacing * by wrapper: *,error
Cancelling the transfer of  |  because of ,info
"low disk watermark [*] exceeded on *, replicas will not be assigned to this node",info
"watcher execution service paused, not processing [*] events",debug
updated [ | ] already in blacklist,debug
   adding config file: *,info
"broadcast_rpc_address unset, broadcasting public IP as rpc_address: *",info
Files are different on the recovery target: * ,debug
Could not find the stats for less than me: *,warn
adding snapshot completion listener to wait for deleted snapshot to finish,trace
TTransportException inside handler,error
Deleted table,info
failed to switch to stream read,warn
Cache flush failed for region ,error
Exception inside handler,error
INSTANCE unique id: ,info
Deleting assignment state for *,debug
Can't find the znode file; presume non-fatal,warn
close scanner for  |  failed,debug
Skipping completed validation for partition * which is not currently assigned.,debug
Cannot shut down the result partition manager.,warn
Unacquired orphan task is done ,debug
Flushing ,info
Initial Context Properties,debug
Exiting,error
Cannot access com.sun.management.OperatingSystemMXBean.getProcessCpuLoad() - CPU load metrics will not be available.,warn
$$$Empty Message$$$,error
Unable to serialize one of the procedure: ,error
Creating materialized view * for *.*. Materialized views are experimental and are not recommended for production use.,warn
"Failed to insert pending future, tracing synchronization may not work",warn
unexpected invocation of #onError() on *,warn
For Table:  |  ; #Total Regions:  |  ; The average dispersion score is ,info
Executing discard procedure for *.,trace
Adding Flink config entry for * as *=* to Hadoop config for Swift native File System,debug
Problem with Parser Config,warn
took * to load state,debug
$$$Empty Message$$$,warn
Unexpected parsing error,error
scanner failed to close.,warn
Unexpected EOF trying to find XML end marker in *,warn
Unable to reach broker after * retries. Returning all current partitions,warn
TTransportException writing to internal frame buffer,error
Access to physical memory size: com.sun.management.OperatingSystemMXBean incompatibly changed.,warn
Received slot report from instance *: *.,debug
Location set to - *,debug
Client is not ready to send to *. Must delay * ms,trace
Using batching (server settings) for this run.,info
    LIBPROCESS_PORT: *,info
"SASL client skipping handshake in unsecured configuration for addr =  | , datanodeId = ",debug
$$$Empty Message$$$,error
Unknown command entered,debug
moveRegion specifier type: expected:  |  actual: ,warn
Spilling done.,debug
Scan family and column :  |   ,trace
Checking to see if snapshot from request: |  is done,debug
Failed to delete snapshot: ,error
updating number_of_replicas to [*] for indices *,info
Using StatisticalSampleSender (server settings) for this run.,info
"Restore snapshot acl to table. snapshot:  | , table: ",info
Sorting thread was interrupted (without being shut down) while grabbing a buffer. Retrying to grab buffer...,error
"(*) Inconsistent digest on right sub-range *: [*, *]",debug
Failed to get hedged metrics,warn
Error calling coprocessor service  |  for row ,warn
Table  |  created,info
Invalid value for number of samples to take:  | . Skipping sampling.,warn
Program has not been parametrized properly.,error
Error deleting tempQueue *,error
Stopping due to error,error
Preparing standby replica of persistent state store * with changelog topic *,trace
$$$Empty Message$$$,trace
Failed find method  |  in dfsclient; no hedged read metrics: ,warn
"Column definitions for *.* changed, invalidating related prepared statements",trace
"The range of the loaded files does not cover full key space: from [ | ], to [ | ]",warn
split:  | ->,info
Process * @CL.*,trace
loaded ip filtering profiles: *,debug
"Coprocessor service  |  already registered, rejecting request from ",error
sampleOccurred,warn
Started compacted hfiles cleaner on ,trace
 :  | Replaying region open event marker ,debug
Log tailer thread interrupted,error
Default base='*',info
Proxy: setting protocol to : *,debug
Sampling failure,warn
JMeter  Locale=*,info
[repair #*] *,info
ZooKeeper connection lost.  Trying to reconnect.,warn
Command * is not executed because it is not in the whitelist.,debug
"Updating smallQueueInitSize, from * to *",debug
flush with *,trace
... Flush Snapshotting region  |  completed.,debug
Failed to properly stop client thread [*],error
Could not move file  |  to ,trace
not opting out of the query cache; authorization is not allowed,debug
Waiting for up to * seconds for * trace events to complete,trace
"Exception converting to XML: *, message: *",error
Problem retrieving current gui,error
Apache Karaf Quartz Scheduler stopped.,debug
PHI for * : *,trace
Running report generation,debug
Failed to commit * * since it got migrated to another thread already. Closing it as zombie before triggering a new rebalance.,info
"empty workset convergence reached after [ | ] iterations, terminating...",info
Could not find archived execution graph file for *. Estimating the size instead.,debug
waiting for elected master node [*] to setup local exporter [*] (does it have x-pack installed?),info
$$$Empty Message$$$,error
Test Script Recorder up and running!,info
Exception inside handler,error
InitMonitor thread interrupted. Existing.,trace
SynchronousChainedCombineDriver object reuse:  | ENABLED | .,debug
Authentication succeeded for scheme: *,debug
"First client packet is not a SASL mechanism request, using default mechanism GSSAPI",debug
"paused watch execution, reason [*], cancelled [*] queued tasks",info
$$$Empty Message$$$,debug
$$$Empty Message$$$,info
Environment variable '*' not set and ship files have not been provided manually. Not shipping any library files.FLINK_LIB_DIR,warn
$$$Empty Message$$$,error
Region with  |  moved to  | . Relocating...,debug
channel is disconnected: *,info
ES API CALL: search all of category definitions from index * sort ascending * from * size *,trace
"Unexpected getShortMidpointKey result, fakeKey: | , firstKeyInBlock:",error
Stopping RegionServerSnapshotManager  | .,info
Role mapping [*] cannot be parsed and will be skipped,warn
"PushHttpMetricsReporter does not currently support redirects, saw *",error
Error in Task Cancellation Watch Dog,error
Flink configuration is not set prior to loading this configuration. Cannot forward configuration keys from Flink configuration.,warn
set counter write rpc timeout to * ms,info
will process *,trace
"TimeRange failed, likely caused by integer overflow. ",error
Creating producer client for task *,info
Failed to perform RSGroup information cleanup for table: ,debug
Could not allocate slot for *.,info
Starting Dispatcher.,debug
"* satisfied when checking version *, node applied version *",trace
maximum(*) - minimum(*) must be <= *2147483647,warn
"* shard routing modified in an earlier iteration (previous: *, current: *)",trace
adding secondary index table * to operation,info
Cancelled timer: @*  with result *,debug
"Configured GraphiteReporter with {host:*, port:*, protocol:*}",info
Could not read cert file *,debug
*: worker state is still *,debug
Checking to see if procedure is done pid=,debug
Cannot find init file: *,warn
Topic * doesn't exist. Will attempt to create topic.,error
Cannot find setter corresponding to ,debug
Received * event (path: *),debug
Cannot determine physical memory of machine for MacOS host,error
Gets pyflink dependent libs failed.,error
"No inflight batches remaining for *, last ack'd sequence for partition is *, next sequence is *. Going to reset producer state.",info
Started MockSinkTask at * with failure scheduled in * ms,debug
Error parsing timeout field value:,error
Loading system properties from: *,info
The handler of the request complete callback threw an exception | .,error
"Executor has been shut down, not submitting *",info
Got exception while doing balance ,warn
SplitPoint startkey for table [ | ]: [ | ],debug
Ignoring exception receiving,warn
Removing  |  regions from ,debug
"RegExUserParameters element: * => changed parameter: * = *, was: *",debug
Illegal access while calling method * from class *.createFactory,warn
Failed to archive the old del files ,error
Exception invoking listener on threadFinished.,error
$$$Empty Message$$$,warn
"NOT INCREASING! current= | , candidate=",warn
"Failed to open store file : *, keeping it in tmp location",error
Started Kinesis producer instance for region '*',info
*: no processes containing * found to send * to.,error
"addMark (time: | , bytes:  | , skipped:  | )",trace
  source cell:  |  value: ,debug
"searchBase=*, scope=*, countlim=*, timelim=*, attrs=*, retobj=*, deref=*, filter=*",debug
Should not be here,debug
Could not read connector state,error
TTransportException writing to internal frame buffer,error
[*] Data extractor received cancel request,debug
Column SQL types array doesn't match arity of passed Row! Check the passed array...,warn
$$$Empty Message$$$,error
"Using batching for this run. Thresholds: num=*, time=*",info
Classpath: *,info
SASL server DIGEST-MD5 callback: setting password  | for client: ,trace
Unexpected interruption,warn
Someone else is active and deleted logs. retrying.,warn
"Big response, truncating it to * bytes",debug
Initialization failed. Digest algorithm  |  is not available.,error
Offset commit failed on partition * at offset *: *,error
"Table *:  target region count is *, target region size is *",debug
Can not allocate [*] on node [*] due to [*],trace
"Error processing JSON content in *, message: *",error
"findClassesThatExtend with searchPathsOrJars : *, superclass : * innerClasses : * annotations: * contains: *, notContains: *",debug
$$$Empty Message$$$,info
Stopping QuotaRefresherChore chore.,debug
[*] [*] failed to list directory - some of files might not be deleted,warn
Set the current default database as [*] in the current default catalog [*].,info
Loading regionsinfo from the hbase:meta table,info
"Could not load Queryable State Server. Probable reason: flink-queryable-state-runtime is not in the classpath. To enable Queryable State, please move the flink-queryable-state-runtime jar from the opt to the lib folder.",info
TrustStore Location: *,info
$$$Empty Message$$$,error
close now acquiring writeLock,debug
TTransportException writing to internal frame buffer,error
"No hfiles found for family:  | , skipping.",trace
'*' attempting to acquire lock to page with id '*',debug
Adding  | /core-site.xml to hadoop configuration,debug
"Found previous offset, trying to skip to file offset *",debug
Some JRE information could not be retrieved for the JRE version: ,error
Exception occurred when storing new meta data,warn
--- adding [*] [*],trace
Memstore is above high water mark and block * ms,warn
Client execution is skipped,info
"FileSystem doesn't support setStoragePolicy; HDFS-6584, HDFS-9345 not available. This is normal and expected on earlier Hadoop versions.",debug
opting out of the query cache. current request doesn't hold indices permissions,debug
Found orphan rescan node ,debug
$$$Empty Message$$$,warn
Unable to read private key from keystore,error
FileChannelManager uses directory * for spill files.,info
$$$Empty Message$$$,error
Found tag < | > was not expected.  | We were not expecting any more elements within the current tag,error
Plugged hole by creating new empty region:  |  ,info
Could not set socket timeout.,warn
TTransportException inside handler,error
The auths for groups of user  |  are ,trace
Just set argument to values:  |  = ,debug
Successfully updated remote job [*],info
"received a cluster state (uuid[*]/v[*]) from a different master than the current one, rejecting (received *, current *)",warn
"Dropping a warning header, as their total size reached the maximum allowed of [ | ] bytes set in [ | ]!",warn
Using TLS encrypted quorum communication,info
--------------------------------------------------------------------------------,info
"using script cache with max_size [*], expire [*]",debug
Cannot verify the region assignment for region  |  null  | because of ,error
secureClientPortAddress is *,info
Started KafkaConfigBackingStore,info
Remaining (excluding deleted) active assignments: *,debug
$$$Empty Message$$$,error
[*][*]: allocating [*] to [*] on forced primary allocation,debug
TTransportException inside handler,error
"triggered watches could not be deleted *, failure [*]",error
* starting recovery from *,trace
"Deleting region  |  because daughters --  | ,  |  -- no longer hold references",debug
* does not support method *. Doing nothing.setNodeLabelExpression,debug
Unexpected exception during unregister of [*]. It should be reviewed and fixed.,error
Exception writing to internal frame buffer,error
"The Cell result is null, assemble a new Cell with the same row,family,qualifier,timestamp,type and tags but with an empty value to return.",warn
"RowNumber:  | , onDiskDataSize:  | , totalOnDiskSize: ",trace
Exception writing to internal frame buffer,error
"Authentication complete; session max lifetime from broker config=* ms, credential expiration=* (* ms); no session expiration, sending 0 ms to client",debug
Starting up server gossip,info
httpSession: *,trace
